resort_name,resort_type,location,last_24hr_snow,prev_1_5_days,prev_6_10_days,prev_11_15_days,next_1_5_days,next_6_10_days,next_11_15_days,latitude,longitude,forecast_updated_at
3 Zinnen (3 Peaks) Dolomites,Ikon,"Bolzano, Italy",0.0,3,0,8,4,8,8,46.7127,12.3641,2026-02-19 17:13:57+00:00
Alpe di Siusi,Ikon,"Bolzano, Italy",0.0,3,0,4,2,6,7,46.5312,11.6258,2026-02-19 16:25:17+00:00
Alpental at Snoqualmie,Ikon,"Washington, United States",3.0,8,3,0,8,31,14,47.4361,-121.4354,2026-02-19 16:06:50+00:00
Alyeska,Ikon,"Alaska, United States",2.0,6,6,10,0,4,7,60.9604,-149.0908,2026-02-19 16:19:10+00:00
Appi Kogen,Ikon,"Iwate, Japan",6.0,6,8,10,1,12,8,39.9882,140.962,2026-02-19 17:06:16+00:00
Arabba,Ikon,"Belluno, Italy",0.0,4,0,10,3,6,8,46.4842,11.8729,2026-02-19 17:00:54+00:00
Arapahoe Basin,Ikon,"Colorado, United States",1.0,7,5,2,3,8,8,39.6324,-105.871,2026-02-19 17:13:57+00:00
Banff Sunshine,Ikon,"Alberta, Canada",0.0,10,2,3,2,7,5,51.0924,-115.7667,2026-02-19 16:18:14+00:00
Bear Mountain,Ikon,"California, United States",0.0,33,0,0,4,0,0,34.2186,-116.8604,2026-02-19 16:24:32+00:00
Big Sky,Ikon,"Montana, United States",2.0,17,1,4,2,5,2,45.2811,-111.4302,2026-02-19 16:06:54+00:00
Blue Mountain,Ikon,"Ontario, Canada",7.0,7,4,1,7,6,8,44.5038,-80.3206,2026-02-19 16:24:28+00:00
Blue Mountain,Ikon,"Pennsylvania, United States",0.0,3,0,4,5,3,2,40.8128,-75.5116,2026-02-19 16:00:34+00:00
Boyne Mountain,Ikon,"Michigan, United States",0.0,0,1,0,4,6,6,45.1625,-84.9375,2026-02-19 17:07:03+00:00
Brighton,Ikon,"Utah, United States",22.0,41,14,0,2,15,4,40.5898,-111.5728,2026-02-19 17:01:34+00:00
Camelback,Ikon,"Pennsylvania, United States",0.0,2,0,0,6,6,2,41.0445,-75.3525,2026-02-19 16:00:11+00:00
Carezza,Ikon,"Bolzano, Italy",0.0,2,0,5,2,5,7,46.4126,11.6053,2026-02-19 16:30:42+00:00
Cervino Ski Paradise,Ikon,"Valle d'Aosta, Italy",2.0,50,25,5,3,6,17,45.9462,7.6931,2026-02-19 16:24:11+00:00
Chamonix,Ikon,"Haute-Savoie, France",6.0,74,63,9,14,13,7,45.8859,6.9339,2026-02-19 17:13:25+00:00
Civetta,Ikon,"Belluno, Italy",0.0,3,1,12,4,9,9,46.4153,12.0686,2026-02-19 17:13:58+00:00
Copper Mountain,Ikon,"Colorado, United States",2.0,8,5,1,3,8,8,39.4807,-106.1592,2026-02-19 16:36:41+00:00
Coronet Peak,Ikon,"Otago, New Zealand",,0,0,0,0,0,0,-44.9214,168.737,2026-02-19 15:49:05+00:00
